"Question","Answer"
"What are different ways to integrate a CSS into a Web page?","There are three ways to integrate CSS into a Web page: 1) Inline: HTML elements may have CSS applied to them via the STYLE attribute. 2) Embedded: By placing the code in a STYLE element within the HEAD element. 3) Linked/ Imported: Place the CSS in an external file and link it via a link element."
"If background and colour should always be set together, why do they exist as separate properties?","The reasons for this are as follows: 1. It increases the legibility of the style sheets. The background property is a complex property in CSS. If it is combined with color, the complexity will further increase. 2. Color is inherited, but background isn’t. This can further increase the confusion."
"Explain external Style Sheet? How would you link to it?","1. External Style Sheet can be called as a template/document/file which contains style information and can be linked with more than one HTML documents. 2. Using this the entire site can be formatted and styles just by editing one file. 3. The file is linked with HTML documents via the LINK element inside the HEAD element. <HEAD> <LINK REL=STYLESHEET HREF=\"style.css\" TYPE=\"text/css\"> </HEAD>"
"What are the advantages and disadvantages of External Style Sheets?","**The advantages of External Style Sheets are:** 1. Using them, the styles of multiple documents can be controlled from one file. 2. Classes can be created for use on multiple HTML element types in many documents. 3. In complex situations, selector and grouping methods can be used to apply styles. **The disadvantages of External Style Sheets are:** - In order to import style information for each document, an extra download is needed. - Until the external style sheet is loaded, it may not be possible to render the document. - For small number of style definitions, it is not viable."
"What are the advantages and disadvantages of Embedded Style Sheets?","**The advantages of Embedded Style Sheets are:** 1. It is possible to create classes for use on multiple tag types in the document. 2. Under complex situations, selector and grouping methods can be used to apply styles. 3. No extra download is required to import the information. **The disadvantages of Embedded Style Sheets are:** 1. It is not possible to control the styles for multiple documents from one file, using this method."
"What are the advantages and disadvantages of Inline Styles?","**The advantages of Inline Styles are:** 1. It is especially useful for small number of style definitions. 2. It has the ability to override other style specification methods at the local level. **The disadvantages of Inline Styles are:** 1. It does not separate out the style information from content. 2. The styles for many documents cannot be controlled from one source. 3. Selector grouping methods cannot be used to handle complex situations. 4. Control classes cannot be created to control multiple element types within the document."
"How can you eliminate the blue border around linked images on web page?","This can be done by specifying the border property for linked images in your CSS as none: **For Example:** a img { border: none; } However, this makes it difficult for the users to differentiate between the clickable and non-clickable images."
"What is CSS selector?","1. Basically it is a string that identifies the elements to which a particular declaration or set of declarations will apply. 2. It can also be referred to as a link between the HTML document and the style sheet. 3. It is equivalent of HTML elements. **For example:** A {text-indent: 12pt}"
"What is Tweening?","1. It is the short form for in-betweening. 2. It is the process of generating intermediate frames between two images. 3. It gives the impression that the first image has smoothly evolved into the second one. 4. It is an important method used in all types of animations. 5. In CSS3, Transforms(matrix,translate,rotate,scale etc) module can be used to achieve tweening."
"Explain RWD.","1. RWD is the abbreviation for Responsive web design. 2. In this technique, the designed page is perfectly displayed on every screen size and device, be it desktop, mobile, laptop or any other device. You don’t need to create a different page for each device."
"What is the use of CSS sprites?","1. A web page with large number of images takes a longer time to load. This is because each image separately sends out a http request. 2. The concept of CSS sprite helps in reducing this loading time for a web page by combining various small images into one image. This reduces the numbers of http request and hence the loading time."
"What is the syntax to link external style sheet?","External style sheets are made up of CSS format only; it contains style information that can be linked with the HTML document externally. It is one of the easy and structured ways as it keeps the style separate from the structure. It is a convenient way as only one file will be affected if any changes will be made overall. The file is linked through Link tag used inside the HTML Head. The syntax is as follows: <HTML> <HEAD> <LINK REL=STYLESHEET HREF=\"style.css\" TYPE=\"text/css\"> </HEAD> </HTML>"
"How embedded style can be linked with HTML documents?","Embedded style is inside the HTML code only. It is written using the <Style> tag and used under the <Head> structure. It gets applied to the element for which the style will be written. The syntax of it is as follows: <HEAD> <STYLE TYPE=\"text/css\"> p {text-indent: 10pt;} h1{text-color: #FFFFFF;} </STYLE> </HEAD>"
