"Question","Answer"
"What is Data Science? List the differences between supervised and unsupervised learning.","Data Science is a blend of various tools, algorithms, and machine learning principles with the goal to discover hidden patterns from the raw data. Supervised Learning: Input data is labelled; Uses a training data set; Used for prediction; Enables classification and regression. Unsupervised Learning: Input data is unlabelled; Uses the input data set; Used for analysis; Enables Classification, Density Estimation, & Dimension Reduction."
"What is Selection Bias?","Selection bias is a kind of error that occurs when the researcher decides who is going to be studied. It is usually associated with research where the selection of participants isn’t random."
"What is a bias-variance trade-off?","Bias is an error introduced in your model due to the oversimplification of the machine learning algorithm. Variance is error introduced in your model due to a complex machine learning algorithm. The goal is to have low bias and low variance to achieve good prediction performance."
"In your choice of language, write a program that prints the numbers ranging from one to 50","The python code to print numbers ranging from 1 to 50 is as follows:\n\nfor i in range(1, 51):\n    print(i)"
"What is a confusion matrix?","The confusion matrix is a 2X2 table that contains 4 outputs provided by the binary classifier. It includes True Positive, False Positive, True Negative, and False Negative."
"Describe Markov chains?","Markov chain is a type of stochastic process where the future probability of any state depends only on the current state."
"What do you understand by true positive rate and false-positive rate?","True Positive rate (TPR) is the ratio of True Positives to True Positives and False Negatives. False Positive Rate (FPR) is the ratio of False Positives to all the positives."
"Why R is used in Data Visualization?","R is used in data visualization as it has many inbuilt functions and libraries that help in data visualizations, such as ggplot2 and leaflet."
"What is the ROC curve?","The ROC curve is a graph between False positive rate on the x-axis and True positive rate on the y-axis, used for binary classification."
"What are dimensionality reduction and its benefits?","Dimensionality reduction is the process of reducing the number of features in a dataset. Benefits include reduced time and storage space, easier visualization, and reduced space complexity."
"How do you find RMSE and MSE in a linear regression model?","RMSE is the square root of the average of squared differences between predicted and actual values. MSE is the average of the squared differences."
"How to deal with unbalanced binary classification?","Use precision/recall, resampling techniques like undersampling or oversampling, K-fold cross-validation, and ensemble learning."
"What is the difference between a box plot and a histogram?","Histograms show the distribution of data, while box plots summarize data through their quartiles and are better for comparing datasets."
"What does NLP stand for?","NLP stands for Natural Language Processing, the study of programming computers to understand and process human language."
"Walkthrough the probability fundamentals","Probability measures the likelihood of an event occurring, ranging from 0 to 1. Key concepts include permutations, combinations, and the addition rule."
"Describe different regularization methods, such as L1 and L2 regularization","L1 regularization (Lasso) adds absolute values of weights to the loss function, while L2 regularization (Ridge) adds the squares of weights."
"How should you maintain a deployed model?","Regularly check accuracy, retrain with new data if necessary, and use anomaly detection techniques."
"Write the equation and calculate the precision and recall rate.","Precision = True Positives / (True Positives + False Positives); Recall = True Positives / (True Positives + False Negatives)."
"Why do we use the summary function?","Summary functions provide a summary of numeric values in a dataframe, including count, mean, and standard deviation."
"How will you measure the Euclidean distance between the two arrays in NumPy?","Use numpy.linalg.norm() to calculate the Euclidean distance between two arrays."
"What is the difference between an error and a residual error?","An error is the difference between predicted and actual values, while a residual is the difference between observed values and their mean."
"Difference between Normalization and Standardization?","Normalization rescales data to a range of 0 to 1, while standardization transforms data to have a mean of 0 and a standard deviation of 1."
"What is the difference between 'long' and 'wide' format data?","In wide format, repeated responses are in a single row, while in long format, each response is a separate row."
"What do you understand by the term Normal Distribution?","Normal distribution is a bell-shaped curve where data is symmetrically distributed around the mean."
"What is correlation and covariance in statistics?","Correlation measures the strength of the relationship between two variables, while covariance indicates how two variables change together."
"What is the difference between Point Estimates and Confidence Interval?","Point estimation provides a specific value, while confidence intervals give a range likely to contain the population parameter."
"What is the goal of A/B Testing?","The goal of A/B Testing is to identify changes that maximize or increase the outcome of interest."
"What is p-value?","A p-value helps determine the strength of results in hypothesis testing, indicating whether to reject the null hypothesis."
"In any 15-minute interval, there is a 20% probability that you will see at least one shooting star. What is the probability that you see at least one shooting star in the period of an hour?","Probability of seeing at least one shooting star in one hour is approximately 0.5904."
"How can you generate a random number between 1 – 7 with only a die?","Roll the die twice, excluding the combination (6,6) to ensure equal outcomes."
"A certain couple tells you that they have two children, at least one of which is a girl. What is the probability that they have two girls?","The probability of having two girls given at least one is a girl is 1/3."
