"Question","Answer"
"What is Docker's image?","A Docker image can be understood as a template from which Docker containers can be created."
"What is a Docker container?","Docker containers include the application and all of its dependencies, sharing the kernel with other containers."
"What is Docker Swarm?","Docker Swarm is the native way of clustering implementation for Docker, turning a pool of Docker hosts into a single virtual Docker host."
"What is Dockerfile used for?","Dockerfile is a set of instructions that Docker uses to build images automatically."
"How to create Docker container?","You can create a Docker container using the command 'docker run -t -i <image_name>'."
"How to stop and restart the Docker container?","Use 'docker stop CONTAINER_ID' to stop and 'docker restart CONTAINER_ID' to restart."
"What platforms does Docker run on?","Docker runs on various Linux distributions like Ubuntu, Fedora, RHEL, and also on cloud environments like AWS and Azure."
"Do I lose my data when the Docker container exits?","No, the data persists until the container is explicitly deleted."
"What’s the difference between up, run, and start?","'docker-compose up' starts all services; 'docker-compose run' runs one-off tasks; 'docker-compose start' restarts stopped containers."
"How many containers can run per host?","The number of containers depends on the environment's resources (CPU, memory)."
"Is there a way to identify the status of a Docker container?","Run 'docker ps -a' to list all containers and their statuses."
"What are the differences between 'docker run' and 'docker create'?","'docker create' creates a container in a stopped state; 'docker run' starts it immediately."
"Can you remove a paused container from Docker?","No, a container must be stopped before it can be removed."
"Is there a possibility that a container can restart all by itself in Docker?","No, the default restart policy is set to never restart automatically."
"What is the preferred way of removing containers - 'docker rm -f' or 'docker stop' then 'docker rm'?","Use 'docker stop' followed by 'docker rm' for safe removal."
"Difference between Docker Image and container?","A Docker image is a static template; a Docker container is a running instance of that image."
"What is Hypervisor?","A hypervisor is a software that makes virtualization possible, dividing the host system and allocating resources to each virtual environment."
"What is virtualization?","Virtualization is the process of creating a software-based virtual version of something, allowing multiple systems to operate from a single physical hardware."
"What is containerization?","Containerization bundles an application with all its dependencies, ensuring it runs consistently across different environments."
"Difference between virtualization and containerization?","Containers provide isolated environments for applications, while virtualization abstracts the hardware layer, providing full virtual machines."
"What is Docker?","Docker is a containerization platform that packages applications and their dependencies into containers for consistent execution across environments."
"What is a Docker Container?","Docker containers include applications and their dependencies, sharing the kernel with other containers and running as isolated processes."
"What are Docker Images?","Docker images are the source of Docker containers and are used to create them. Running an image creates an instance of a container."
"What is Docker Hub?","Docker Hub is a registry for Docker images, allowing users to share and manage container images."
"Explain Docker Architecture?","Docker Architecture consists of a Docker Engine with three components: a server (daemon), a REST API, and a command line interface (CLI)."
"What is a Dockerfile?","A Dockerfile is a text document containing commands to assemble a Docker image automatically."
"Tell us something about Docker Compose.","Docker Compose is a YAML file that defines services, networks, and volumes for setting up Docker applications."
"What is Docker Swarm?","Docker Swarm is native clustering for Docker, allowing multiple Docker hosts to be managed as a single virtual host."
"What is a Docker Namespace?","A namespace is a Linux feature providing isolation for containers, with types like PID, Mount, IPC, User, and Network."
"What is the lifecycle of a Docker Container?","The lifecycle includes creating, running, pausing, stopping, restarting, killing, and destroying the container."
"What is Docker Machine?","Docker Machine is a tool to install Docker Engine on virtual hosts and manage them with docker-machine commands."
"How to check for Docker Client and Server version?","Use the command '$ docker version' to check the versions."
"How do you get the number of containers running, paused and stopped?","Use the command '$ docker info' to get detailed information about the Docker installation."
"If you vaguely remember the command and you’d like to confirm it, how will you get help on that particular command?","Use '$ docker --help' for general help or '$ docker <command> --help' for specific command help."
"How to login into docker repository?","Use the command '$ docker login' and enter your username and password."
"If you wish to use a base image and make modifications or personalize it, how do you do that?","Pull an image with '$ docker pull <image_name>'."
"How do you create a docker container from an image?","Use '$ docker run -it -d <image_name>' to create and run a container."
"How do you list all the running containers?","Use the command '$ docker ps' to list running containers."
"How do you access a running container?","Use '$ docker exec -it <container_id> bash' to access a running container."
"How to start, stop and kill a container?","Use '$ docker start <container_id>', '$ docker stop <container_id>', and '$ docker kill <container_id>'."
"Can you use a container, edit it, and update it? Also, how do you make it a new and store it on the local system?","Use '$ docker commit <container_id> <username/imagename>' to save changes."
"Once you’ve worked with an image, how do you push it to docker hub?","Use '$ docker push <username/image_name>' to push an image to Docker Hub."
"How to delete a stopped container?","Use '$ docker rm <container_id>' to delete a stopped container."
"How to delete an image from the local storage system?","Use '$ docker rmi <image-id>' to delete an image."
"How to build a Dockerfile?","Use '$ docker build <path to docker file>' to build a Dockerfile."
"Do you know why docker system prune is used? What does it do?","'$ docker system prune' removes all stopped containers, unused networks, dangling images, and build caches."
"Will you lose your data, when a docker container exists?","No, data persists on the disk until the container is explicitly deleted."
"Where all do you think Docker is being used?","Docker is used for simplifying configuration, code pipeline management, developer productivity, application isolation, debugging, multi-tenancy, and rapid deployment."
"How is Docker different from other containerization methods?","Docker is easy to deploy, allows more applications on the same hardware, and simplifies management and sharing of applications."
"Can I use JSON instead of YAML for my compose file in Docker?","Yes, you can use JSON for your compose file by specifying the filename with '$ docker-compose -f docker-compose.json up'."
"How have you used Docker in your previous position?","Discuss your experience with Docker for rapid deployment and integration with tools like Puppet, Chef, or Jenkins."
"How far do Docker containers scale? Are there any requirements for the same?","Containers can scale to thousands or millions, requiring sufficient memory and efficient resource usage."
"What platforms does docker run on?","Docker runs on various Linux distributions and cloud platforms like AWS, Google Compute Engine, and Microsoft Azure."
"Is there a way to identify the status of a Docker container?","Use '$ docker ps' to check running containers and '$ docker ps -a' for all containers."
"Can you remove a paused container from Docker?","No, a paused container must be stopped before it can be removed."
"Can a container restart by itself?","No, containers cannot restart by themselves; the default restart policy is set to never."
"Is it better to directly remove the container using the rm command or stop the container followed by remove container?","It’s better to stop the container first to allow cleanup before removal."
"Will cloud overtake the use of Containerization?","Docker and cloud services complement each other; both will coexist and be integrated in many organizations."
