"問題","答案"
"What is the purpose of Overlay function of PostgreSQL?","It's purpose is to replace substring from a specified position to a specified position. e.g. Select Overlay('www.dotnetanda.com' Placing 'funda' From 11 For 4) Result: www.dotnetfunda.com"
"What is the purpose of String_Agg function in PostgreSQL?","The 'String_Agg' function input values concatenated into a string separated by delimiter. Example: Select DeptName, String_Agg((EmpName), ',') 'Employee List' From tblEmployee Join tblDept Using(DeptId) Group By DeptName;"
"What is the purpose of Array_To_String in PostgreSQL?","The 'Array_To_String' function concatenates array elements using provided delimiter. Example: SELECT DeptName, Array_To_String(Array_Agg(EmpName),',') 'Employee List' FROM tblEmployee Join tblDept Using(DeptId) Group By DeptName;"
"What is the purpose of USING Operator in the ORDER BY clause of PostgreSQL?","It is a shorthand notation of Descending and Ascending. Example: select * from test order by number USING >"
"How will you create your aggregate function using PostgreSQL?","CREATE AGGREGATE ListAggregation1 (anyelement)( sfunc = array_append, stype = anyarray, initcond = '{}' ); Then invoke it as: Select DeptName, Array_To_String(ListAggregation1(EmpName),',') 'Employee List'"
"What is Array_To_String function in PostgreSQL?","This function concatenates an array element to a string provided the join string is supplied. Example: Select Array_To_String(ARRAY['Hello','World','Today','I','am','learning','Array_To_String','It','is','very','cool'], ' ')"
"What is String_To_Array function in PostgreSQL?","This function splits a string to an array provided the delimiter is supplied. Example: Select String_To_Array('Hello World Today I am learning String_To_Array It is very cool',' ')"
"How to find the Version of PostgreSQL?","We can get the version information in PostgreSQL by using the version function as shown under: select version();"
"How to change PostgreSQL root user password?","$ /usr/local/pgsql/bin/psql postgres postgres\nPassword: (oldpassword)\n# ALTER USER postgres WITH PASSWORD 'tmppassword';\n$ /usr/local/pgsql/bin/psql postgres postgres\nPassword: (tmppassword)\nChanging the password for a normal postgres user is similar as changing the password of the root user."
"How to setup PostgreSQL SysV startup script?","$ su - root\n# tar xvfz postgresql-8.3.7.tar.gz\n# cd postgresql-8.3.7\n# cp contrib/start-scripts/linux /etc/rc.d/init.d/postgresql\n# chmod a+x /etc/rc.d/init.d/postgresql"
"How to check whether PostgreSQL server is up and running?","$ /etc/init.d/postgresql status\nPassword:\npg_ctl: server is running (PID: 6171)\n/usr/local/pgsql/bin/postgres \"-D\" \"/usr/local/pgsql/data\"\n[Note: The status above indicates the server is up and running]\n$ /etc/init.d/postgresql status\nPassword:\npg_ctl: no server running\n[Note: The status above indicates the server is down]"
"How to start, stop and restart PostgreSQL database?","# service postgresql stop\nStopping PostgreSQL: server stopped\nok\n# service postgresql start\nStarting PostgreSQL: ok\n# service postgresql restart\nRestarting PostgreSQL: server stopped\nok"
"How do I find out what version of PostgreSQL I am running?","$ /usr/local/pgsql/bin/psql test\nWelcome to psql 8.3.7, the PostgreSQL interactive terminal.\nType: \\copyright for distribution terms\n\\h for help with SQL commands\n\\? for help with psql commands\n\\g or terminate with semicolon to execute query\n\\q to quit\ntest=# select version();\nversion\n----------------------------------------------------------------------------------------------------\nPostgreSQL 8.3.7 on i686-pc-linux-gnu, compiled by GCC gcc (GCC) 4.1.2 20071124 (Red Hat 4.1.2-42)"
