"Question","Answer"
"What's the difference between a `tuple` and a `list`?","Both tuples and lists are data structures in Python and hold a list of values. Unlike lists, tuples are immutable - they can't be changed."
"What is a `dict` and what's its most important limitation?","A `dict` is a structure akin to a hash map. It stores key-value pairs, where keys are unique and it has O(1) access time. The most important limitation for a `dict` is that the keys must be hashable/immutable. Meaning, we can use a tuple as a key, but not a list."
"What is a \"callable\"?","A callable is an object we can call - function or an object implementing the `__call__` special method. Any object can be made callable."
"Using list comprehension, print the odd numbers between 0 and 100.","[a for a in range(0, 100) if a % 2]"
"What is pickling/unpickling?","Pickling is converting an object to a string representation in Python. Generally used for caching and transferring objects between hosts/processes."
"What's a generator?","A generator is a callable object that acts as an iterable (object you can iterate in for cycles, etc.)."
"Explain the use of decorators.","Decorators in Python are used to modify or inject code in functions or classes. They allow wrapping a class or function method call so that a piece of code can be executed before or after the execution of the original code. Decorators can be used to check for permissions, modify or track the arguments passed to a method, logging the calls to a specific method, etc."
"Write a simple decorator.","def paragraph_wrap(func): def func_wrapper(name): return \"<p>{0}</p>\".format(func(name)) return func_wrapper @paragraph_wrap def get_text(name): return \"lorem ipsum, {0} dolor sit amet\".format(name) print(get_text(\"John\"))"
"Suppose lst is `[2, 33, 222, 14, 25]`, What is `lst[-1]`?","`lst[-1]` is `25`. Negative numbers mean that you count from the right instead of the left. So, `lst[-1]` refers to the last element."
"Given the list `lst = [1, 2, 3, 4, 4, 6, 7, 3, 4, 5, 2, 7]`, return only the unique values in the list.","`set(lst)` - one answer. The limitation of this solution is that values should be hashable. Another answer is to iterate through the list and use an intermediate list to store the current value, checking if it's already added."
"Explain `*args` and `**kwargs`.","When a function is declared `def my_func(*args, **kwargs)`, `args` is a `tuple` with all positional arguments passed to the function and `kwargs` is a `dict` with all keyword arguments. They can be named anything as long as the unpack operators `*` and `**` are used. `*` unpacks a `tuple` and `**` unpacks a `dict`."
"Is this valid in Python and why?","def my_function(): print(my_function.what) my_function.what = \"right?\" my_function() # Prints \"right?\" It is valid. In Python, everything is an object, including functions."
"Given variables a and b, switch their values so that b has the value of a, and a has the value of b without using an intermediary variable.","(請補充詳細內容)"
"How would you `xor` in Python?","(a and not b) or (not a and b) bool(a) != bool(b) bool(a) ^ bool(b) from operator import xor; xor(bool(a), bool(b))"
"What is introspection/reflection and does Python support it?","Introspection is the ability to examine an object at runtime. Python has functions like `dir()`, `type()`, and `isinstance()` that support examining the attributes of an object. Reflection allows modifying objects at runtime and accessing them dynamically, e.g., `setattr()` and `getattr()`."
"One thing about Python OOP is that it doesn't support true private attributes/methods. How do we circumvent this limitation?","There is a convention: if we prefix the name with an underscore, it's considered private."
"What's a metaclass?","In Python, everything is an object, including classes, which are instances of something - a metaclass. The default metaclass is `type`."
"What are the Dunder/Magic/Special methods in Python? Name a few.","Dunder methods are special/magic predefined methods in Python, with names that start and end with a double underscore. Examples include: `__init__` - constructor, `__str__`, `__repr__` - object representation, `__len__`, `__next__` - generators, `__enter__`, `__exit__` - context managers, `__eq__`, `__lt__`, `__gt__` - operator overloading."
"CheeseShop? What is that?","CheeseShop is what Python developers call PyPI (The Python Package Index) - a repository of software for the Python programming language."
"What are virtualenvs?","A virtualenv is an isolated environment for development, running, and debugging Python code. It isolates a Python interpreter with a set of libraries and settings, allowing multiple applications on a single host, each with their own version of the Python interpreter."
"What are modules and packages in Python?","A module in Python is any file with a `.py` extension. A package is a set of modules - a directory that contains one or many `.py` files, one of which is `__init__.py`."
"Bonus question: Tabs or Spaces?","Author is a spaces zealot. 4 spaces per tab that is. Both answers are correct (spaces is more correct ?). Incorrect answers are 'I don't know', 'I don't care', 'Both', 'Does it matter'."
"What are the ways to write a function using call by reference?","Arguments in Python are passed as an assignment. This assignment creates an object that has no relationship between an argument name in source and target. The procedure to write the function using call by reference includes: def function(a, b): a = 'value'; b = b + 1; return a, b. The use of global variables allows the function to be called as reference but this is not the safe method to call any function. The use of mutable objects allows passing the function by reference."
"What are the commands that are used to copy an object in Python?","The command that is used to copy an object in Python includes: copy.copy(): Returns a shallow copy of the parameter that is passed. copy.deepcopy(): Returns a deep copy of the parameter that is passed."
"What is the difference between deep and shallow copy?","Shallow copy creates a new instance type and keeps the values copied in the new instance. Deep copy stores the values and does not copy reference pointers; changes in the original do not affect the copied object."
"Write a program to find out the name of an object in Python.","The object doesn’t have any name; assignment binds a name to the value. class try: pass; B = try(); a = B; b = a; print(b)."
"How can the ternary operators be used in Python?","The ternary operator is used to show conditional statements: big = x if x < y else y."
"How does a string get converted to a number?","Use built-in functions like int() or float(). For example: int('1') returns 1; float('1') returns 1.0."
